sn,model,product_id,location,start_time,end_time,source,type,unit,value
"8899000245","HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","12.408863406723567"
"8899000245","HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","7.163737366712591"
"8899000453","HPE DL325 G10+ v2 10All-NVMe Svr for SDS","R8V67A","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","10.714284985026877"
"8899000453","HPE DL325 G10+ v2 10All-NVMe Svr for SDS","R8V67A","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","55.971892726601084"
"8899000710","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","36.89431667721232"
"8899000710","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","5.9057475314256145"
"8899000929","HPE DX380 Gen10 24SFF CTO Svr","P17642-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","53.74090800847414"
"8899000929","HPE DX380 Gen10 24SFF CTO Svr","P17642-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","25.283080391884567"
"8899001577","HPE DX380 Gen10 8SFF CTO Svr","P17640-B21","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","33.31317604363737"
"8899001577","HPE DX380 Gen10 8SFF CTO Svr","P17640-B21","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","7.850153000990431"
"8899002035","HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","26.630174956896845"
"8899002035","HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","56.913994265933056"
"8899002110","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","8.195361590058395"
"8899002110","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","70.03717719810949"
"8899002376","HPE DX380 Gen10 8SFF CTO Svr","P17640-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","13.963095288249452"
"8899002376","HPE DX380 Gen10 8SFF CTO Svr","P17640-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","115.23166485485426"
"8899003032","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","11.054362685199445"
"8899003032","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","210.53457302286628"
"8899003606","HPE ProLiant DX380 Gen10 12FF OEM2b Svr","P31734-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","46.95178248150083"
"8899003606","HPE ProLiant DX380 Gen10 12FF OEM2b Svr","P31734-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","65.91757698122356"
"8899003655","HPE DL325 G10+ v2 10All-NVMe Svr for SDS","R8V67A","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","37.7090549417094"
"8899003655","HPE DL325 G10+ v2 10All-NVMe Svr for SDS","R8V67A","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","9.166607099856856"
"8899003680","HPE ZDL325 Gen10 LFF SMC Svr","P04655-B21","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","17.865300462084193"
"8899003680","HPE ZDL325 Gen10 LFF SMC Svr","P04655-B21","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","6.476464892382842"
"8899004066","HPE DX380 Gen10 8SFF CTO Svr","P17640-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","24.367113300684633"
"8899004066","HPE DX380 Gen10 8SFF CTO Svr","P17640-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","203.77912689088356"
