sn,model,product_id,location
8899070137,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,ND-01
8899005496,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,ND-01
8899093883,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,ND-01
8899087042,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899081778,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,ND-01
8899031262,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,ND-01
8899082083,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,ND-01
8899047281,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899075994,HPE ProLiant DX380 Gen10 12FF OEM2a Svr,P31733-B21,DE-1
8899007598,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,ND-01
8899012692,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,WA-01
8899014168,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,DE-1
8899004084,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,ND-02
8899046761,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,ND-01
8899091787,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-01
8899065155,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,ND-02
8899097668,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899038628,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-02
8899051766,HPE ProLiant DX380 Gen10 12FF OEM2a Svr,P31733-B21,ND-02
8899033827,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,DE-1
8899075416,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-02
8899047309,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-01
8899006372,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,DE-1
8899056292,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,WA-01
8899030596,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,ND-02
8899083704,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-01
8899033765,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,ND-02
8899079663,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,DE-1
8899065973,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899044553,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,WA-01
8899099892,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,DE-1
8899059757,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,DE-1
8899076348,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,ND-02
8899097126,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,ND-02
8899072449,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-01
8899035436,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,WA-01
8899004949,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,ND-01
8899095588,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-01
8899010315,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,ND-01
8899002110,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,ND-01
8899079281,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,WA-01
8899088627,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,DE-1
8899038873,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899018640,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,ND-01
8899018825,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-01
8899022566,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899080633,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-02
8899078685,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,ND-02
8899016300,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,ND-02
8899088387,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-01
8899044650,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,ND-01
8899025438,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,WA-01
8899020990,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-02
8899053007,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,ND-01
8899008113,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899071704,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,DE-1
8899098762,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,WA-01
8899066327,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-02
8899004350,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-01
8899064505,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,DE-1
8899075107,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-01
8899032476,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,WA-01
8899043110,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,ND-02
8899018012,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,DE-1
8899084335,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,DE-1
