"type","model","product_id"
1,"HPE DL325 Gen10 8SFF CTO Server","P04654-B21"
2,"HPE ZDL325 Gen10 LFF SMC Svr","P04655-B21"
3,"HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291"
4,"HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr","P15735-B21"
5,"HPE DL325 Gen10+ 24SFF CTO Svr","P15535-B21"
6,"HPE DL325 Gen10+ 24SFF U.2 CTO Svr","P18612-B21"
7,"HPE DL325 G10+ v2 4LFF TAA CTO Svr","P43249-B21"
8,"HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291"
9,"HPE DL325 Gen10+ 139TB AF Nd Qumulo","R8F01A"
10,"HPE DL325 G10+ v2 10All-NVMe Svr for SDS","R8V67A"
11,"HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21"
12,"HPE DX380 Gen10+ 24SFF CTO Svr","P42679-B21"
13,"HPE DX380 Gen10 24SFF CTO Svr","P17642-B21"
14,"HPE DX380 Gen10 8SFF CTO Svr","P17640-B21"
15,"HPE ProLiant DX380 Gen10 12FF OEM2a Svr","P31733-B21"
16,"HPE ProLiant DX380 Gen10 12FF OEM2b Svr","P31734-B21"
17,"HPE ProLiant DX380 Gen10 12LFF OEM2 Svr","P31732-B21"
18,"HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21"
19,"HPE ProLiant DX380 Gen10 24SFF OEM3a Svr","P31736-B21"
